Description                                                                                                                                                                                             ,acteurs                                                                                                                                                                                                                                                                                                                          ,date             ,duree ,genre                                    ,langue ,pays           ,public    ,score ,titre                                                                ,titre_original
A college professor bonds with an abandoned dog he takes into his home.                                                                                                                                 ,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander,Erick Avari,Davenia McFadden,Robbie Sublett,Kevin DeCoste,Rob Degnan,Tora Hallström,Donna Sorbello,Frank S. Aronson,Troy Doherty,Ian Sherman,Timothy Crowe,Denece Ryland,Blake Friedman"                                                              ,"2009,G"         ,   93 ,"Biography,Drama,Family,Back to top"     ,       ,United Kingdom ,G         ,  8.1 ,Hachi: A Dog's Tale                                                  ,
"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."                                                                    ,"Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,Lionel Atwill,Stanley Ridges,Sig Ruman,Tom Dugan,Charles Halton,George Lynn,Henry Victor,Maude Eburne,Halliwell Hobbes,Miles Mander,Rudolph Anders,Paul Barrett,Sven Hugo Borg,Danny Borzage"                                                                             ,"1942,Passed"    ,   99 ,"Comedy,Romance,War,Back to top"         ,       ,United States  ,Passed    ,  8.2 ,To Be or Not to Be                                                   ,
"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."                                                                              ,"Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,Dominique Louis,Teddy Newton,Jean Sincere,Eli Fucile,Maeve Andrews,Wallace Shawn,Spencer Fox,Lou Romano,Wayne Canney,Sarah Vowell,Michael Bird,Elizabeth Peña,Bud Luckey,Brad Bird"                                                                                    ,"2004,PG"        ,  115 ,"Animation,Action,Adventure,Back to top" ,       ,United States  ,PG        ,  8.0 ,The Incredibles                                                      ,
24 hours in the lives of three young men in the French suburbs the day after a violent riot.                                                                                                            ,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro"                                                        ,"1995,Not Rated" ,   98 ,"Crime,Drama,Back to top"                ,       ,France         ,Not Rated ,  8.1 ,La haine                                                             ,
"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."                                                                               ,"Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,Kitty Winn,Jack MacGowran,Jason Miller,William O'Malley,Barton Heyman,Peter Masterson,Rudolf Schündler,Gina Petrushka,Robert Symonds,Arthur Storch,Thomas Bermingham,Vasiliki Maliaros,Titos Vandis,John Mahon"                                                             ,"1973,R"         ,  122 ,"Horror,Back to top"                     ,       ,United States  ,R         ,  8.1 ,The Exorcist                                                         ,
"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."                                                           ,"Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,Brian Doyle-Murray,Marita Geraghty,Angela Paton,Rick Ducommun,Rick Overton,Robin Duke,Carol Bivins,Willie Garson,Ken Hudson Campbell,Les Podewell,Rod Sell,Tom Milanovich,John M. Watson Sr.,Peggy Roeder"                                                         ,"1993,PG"        ,  101 ,"Comedy,Drama,Fantasy,Back to top"       ,       ,United States  ,PG        ,  8.1 ,Groundhog Day                                                        ,
"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."                         ,"Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,Virginia Mayo,Cathy O'Donnell,Hoagy Carmichael,Harold Russell,Gladys George,Roman Bohnen,Ray Collins,Minna Gombell,Walter Baldwin,Steve Cochran,Dorothy Adams,Don Beddoe,Marlene Aames,Charles Halton"                                                                       ,"1946,Approved"  ,  170 ,"Drama,Romance,War,Back to top"          ,       ,United States  ,Approved  ,  8.1 ,The Best Years of Our Lives                                          ,
"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ..., "   ,"Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker,Kristen Stewart,Hal Holbrook,Jim Gallien,James O'Neill,Malinda McCollum,Paul Knauls,Zach Galifianakis,Craig Mutsch,Jim Beidler,John Decker,John Hofer"                                                                   ,"2007,R"         ,  148 ,"Adventure,Biography,Drama,Back to top"  ,       ,United States  ,R         ,  8.1 ,Into the Wild                                                        ,
"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."                                                                                  ,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly,Mariane Plasteig,Diabolo,Denis Evrard,Albert Delpy,Marie Pillet"                                                                                                                                                                                  ,"2004,R"         ,   80 ,"Drama,Romance,Back to top"              ,       ,United States  ,R         ,  8.1 ,Before Sunset                                                        ,
"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu..., "   ,"Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr,Jack Haley,Billie Burke,Margaret Hamilton,Charley Grapewin,Pat Walshe,Clara Blandick,Terry,The Singer Midgets,Franz Balluck,Josefine Balluck,Dorothy Barrett,Amelia Batchelor,Charles Becker,Freda Betsky"                                                                       ,"1939,G"         ,  102 ,"Adventure,Family,Fantasy,Back to top"   ,       ,United States  ,G         ,  8.1 ,The Wizard of Oz                                                     ,
