Description                                                                                                                                                                                             ,acteurs                                                                                                                                                                                                                                                                                                                          ,date             ,duree ,genre                                    ,langue ,pays           ,public    ,score ,titre                                                                ,titre_original
"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."                         ,"Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,Brian Haley,Geraldine Hughes,Dreama Walker,Brian Howe,John Carroll Lynch,William Hill,Brooke Chia Thao,Chee Thao,Choua Kue,Scott Eastwood,Xia Soua Chang,Sonny Vue,Doua Moua,Greg Trzaskoma"                                                                               ,"2008,R"         ,  116 ,"Drama,Back to top"                      ,       ,Germany        ,R         ,  8.1 ,Gran Torino                                                          ,
"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."                                              ,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,Maria Bello,Terrence Howard,Paul Dano,Dylan Minnette,Zoë Soul,Erin Gerasimovich,Kyla-Drew,Wayne Duvall,Len Cariou,David Dastmalchian,Brad James,Anthony Reynolds,Robert C. Treveiler,Sandra Ellis Lafferty"                                                                ,"2013,R"         ,  153 ,"Crime,Drama,Mystery,Back to top"        ,       ,United States  ,R         ,  8.1 ,Prisoners                                                            ,
A determined woman works with a hardened boxing trainer to become a professional.                                                                                                                       ,"Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Mike Colter,Lucia Rijker,Brían F. O'Byrne,Anthony Mackie,Margo Martindale,Riki Lindhome,Michael Peña,Benito Martinez,Bruce MacVittie,David Powledge,Joe D'Angerio,Marcus Chait,Tom McCleister,Erica Grant"                                                              ,"2004,PG-13"     ,  132 ,"Drama,Sport,Back to top"                ,       ,United States  ,PG-13     ,  8.1 ,Million Dollar Baby                                                  ,
"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."                                                             ,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto,Tanie Kitabayashi,Hiroko Maruyama,Machiko Washio,Reiko Suzuki,Masashi Hirose,Toshiyuki Amagasa,Shigeru Chiba,Naoki Tatsuta,Tarako,Tomohiro Nishimura,Mitsuko Ishida,Chie Kôjiro,Daiki Nakamura"                                                       ,"1988,G"         ,   86 ,"Animation,Comedy,Family,Back to top"    ,       ,Japan          ,G         ,  8.1 ,My Neighbor Totoro                                                   ,Original title: Tonari no Totoro
"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."                ,"Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye,Amy Adams,James Brolin,Brian Howe,Frank John Hughes,Steve Eastin,Chris Ellis,John Finn,Jennifer Garner,Nancy Lenehan,Ellen Pompeo,Elizabeth Banks,Guy Thauvette,Candice Azzara"                                                                       ,"2002,PG-13"     ,  141 ,"Biography,Crime,Drama,Back to top"      ,       ,United States  ,PG-13     ,  8.1 ,Catch Me If You Can                                                  ,
"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ..., "   ,"Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Frank Grillo,Kevin Dunn,Maximiliano Hernández,Bryan Callen,Sam Sheridan,Fernando Chien,Jake McLaughlin,Vanessa Martinez,Denzel Whitaker,Carlos Miranda,Nick Lehane,Laura Chinn,Capri Thomas,Lexi Cowan"                                                                    ,"2011,PG-13"     ,  140 ,"Action,Drama,Sport,Back to top"         ,       ,United States  ,PG-13     ,  8.2 ,Warrior                                                              ,
Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.                          ,"William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell,Tony Denman,Gary Houston,Sally Wingert,Kurt Schweickhardt,Larissa Kokernot,Melissa Peterman,Steve Reevis,Warren Keith,Steve Edelman,Sharon Anderson,Larry Brandenburg,James Gaulke"                                                ,"1996,R"         ,   98 ,"Crime,Thriller,Back to top"             ,       ,United States  ,R         ,  8.1 ,Fargo                                                                ,
"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."                                                         ,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,Robert Carlyle,Kelly Macdonald,Peter Mullan,James Cosmo,Eileen Nicholas,Susan Vidler,Pauline Lynch,Shirley Henderson,Stuart McQuarrie,Irvine Welsh,Dale Winton,Keith Allen,Kevin Allen,Annie Louise Ross"                                                              ,"1996,R"         ,   93 ,"Drama,Back to top"                      ,       ,United Kingdom ,R         ,  8.1 ,Trainspotting                                                        ,
"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi..., "   ,"Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,Javier Godino,Bárbara Palladino,Rudy Romano,Alejandro Abelenda,Mario Alarcón,Guillermo Francella,Sebastián Blanco,Mariano Argento,José Luis Gioia,Juan José Ortíz,Kiko Cerone,Fernando Pardo,Maximiliano Trento,Sergio Santana"                                         ,"2009,R"         ,  129 ,"Drama,Mystery,Romance,Back to top"      ,       ,Argentina      ,R         ,  8.2 ,The Secret in Their Eyes                                             ,Original title: El secreto de sus ojos
A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.                                                                                ,"Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,Kerry Condon,Alejandro Barrios,Clarke Peters,Darrell Britt-Gibson,Abbie Cornish,Riya May Atwood,Selah Atwood,Lucas Hedges,Zeljko Ivanek,Amanda Warren,Malaya Rivera Drew,Sandy Martin,Peter Dinklage,Christopher Berry"                                       ,"2017,R"         ,  115 ,"Comedy,Crime,Drama,Back to top"         ,       ,United Kingdom ,R         ,  8.1 ,"Three Billboards Outside Ebbing, Missouri"                          ,
"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t..., "   ,"William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald,Geoffrey Horne,André Morell,Peter Williams,John Boxer,Percy Herbert,Harold Goodwin,Ann Sears,Heihachirô Ôkawa,Keiichirô Katsumoto,M.R.B. Chakrabandhu,Vilaiwan Seeboonreaung,Ngamta Suphaphongs,Javanart Punynchoti"                                     ,"1957,PG"        ,  161 ,"Adventure,Drama,War,Back to top"        ,       ,United Kingdom ,PG        ,  8.2 ,The Bridge on the River Kwai                                         ,
A former tennis star arranges the murder of his adulterous wife.                                                                                                                                        ,"Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson,Leo Britt,Patrick Allen,George Leigh,George Alderson,Robin Hughes,Richard Bender,Robin Sanders Clark,Jack Cunningham,Robert Dobson,Guy Doleman,Bess Flowers,Robert Garvin,Herschel Graham"                                                                 ,"1954,PG"        ,  105 ,"Crime,Thriller,Back to top"             ,       ,United States  ,PG        ,  8.2 ,Dial M for Murder                                                    ,
"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ..., "   ,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,Ryûnosuke Kamiki,Mitsunori Isaki,Yô Ôizumi,Akio Ôtsuka,Daijirô Harada,Haruko Katô,Jean Simmons,Christian Bale,Lauren Bacall,Blythe Danner,Emily Mortimer,Josh Hutcherson,Billy Crystal,Jena Malone"                                                                    ,"2004,PG"        ,  119 ,"Animation,Adventure,Family,Back to top" ,       ,Japan          ,PG        ,  8.2 ,Howl's Moving Castle                                                 ,Original title: Hauru no ugoku shiro
"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."        ,"Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Steven Mackintosh,Nicholas Rowe,Nick Marcq,Charles Forbes,Vinnie Jones,Lenny McLean,Peter McNicholl,P.H. Moriarty,Frank Harper,Steve Sweeney,Huggy Leaver,Ronnie Fox,Tony McMahon,Stephen Marcus"                                                                        ,"1998,R"         ,  107 ,"Action,Comedy,Crime,Back to top"        ,       ,United Kingdom ,R         ,  8.2 ,"Lock, Stock and Two Smoking Barrels"                                ,
"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."                    ,"Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,Stephen Fry,John Hurt,Tim Pigott-Smith,Roger Allam,Ben Miles,Sinéad Cusack,Natasha Wightman,John Standing,Eddie Marsan,Clive Ashborn,Emma Field-Rayner,Ian Burfield,Mark Phoenix,Alister Mazzotti"                                                                       ,"2005,R"         ,  132 ,"Action,Drama,Sci-Fi,Back to top"        ,       ,United States  ,R         ,  8.2 ,V for Vendetta                                                       ,
"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."                                                                       ,"Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto,Theresa Saldana,Mario Gallo,Frank Adonis,Joseph Bono,Frank Topham,Lori Anne Flax,Charles Scorsese,Don Dunphy,Bill Hanrahan,Rita Bennett,James V. Christy,Bernie Allen,Floyd Anderson"                                                                  ,"1980,R"         ,  129 ,"Biography,Drama,Sport,Back to top"      ,       ,United States  ,R         ,  8.2 ,Raging Bull                                                          ,
"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and..., "   ,"Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling,Phyllis Smith,Richard Kind,Kaitlyn Dias,Diane Lane,Kyle MacLachlan,Paula Poundstone,Bobby Moynihan,Paula Pell,Dave Goelz,Frank Oz,Josh Cooley,Flea,John Ratzenberger,Carlos Alazraqui"                                                                                          ,"2015,PG"        ,   95 ,"Animation,Adventure,Comedy,Back to top" ,       ,United States  ,PG        ,  8.2 ,Inside Out                                                           ,
The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.                                 ,"Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil,Evelyn Keyes,Ann Rutherford,George Reeves,Fred Crane,Hattie McDaniel,Oscar Polk,Butterfly McQueen,Victor Jory,Everett Brown,Howard Hickman,Alicia Rhett,Leslie Howard,Olivia de Havilland,Rand Brooks"                                                                  ,"1939,Passed"    ,  238 ,"Drama,Romance,War,Back to top"          ,       ,United States  ,Passed    ,  8.2 ,Gone with the Wind                                                   ,
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.                                                                                           ,"Kurt Russell,Wilford Brimley,Keith David,Richard Masur,T.K. Carter,David Clennon,Richard Dysart,Charles Hallahan,Peter Maloney,Donald Moffat,Joel Polis,Thomas G. Waites,Norbert Weisser,Larry Franco,Nate Irwin,William Zeman,Adrienne Barbeau,John Carpenter"                                                                 ,"1982,R"         ,  109 ,"Horror,Mystery,Sci-Fi,Back to top"      ,       ,United States  ,R         ,  8.2 ,The Thing                                                            ,
"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte..., "   ,"Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,Wendy Hiller,Freddie Jones,Michael Elphick,Hannah Gordon,Helen Ryan,John Standing,Dexter Fletcher,Lesley Dunlop,Phoebe Nicholls,Pat Gorman,Claire Davenport,Orla Pederson,Patsy Smart,Frederick Treves"                                                                    ,"1980,PG"        ,  124 ,"Biography,Drama,Back to top"            ,       ,United States  ,PG        ,  8.2 ,The Elephant Man                                                     ,
"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."                                                                   ,"Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Allison Janney,Austin Pendleton,Stephen Root,Vicki Lewis,Joe Ranft,Geoffrey Rush,Andrew Stanton,Elizabeth Perkins,Nicholas Bird,Bob Peterson,Barry Humphries,Eric Bana,Bruce Spence"                                                                    ,"2003,G"         ,  100 ,"Animation,Adventure,Comedy,Back to top" ,       ,United States  ,G         ,  8.2 ,Finding Nemo                                                         ,
"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."                                                             ,"Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,John Hillerman,Darrell Zwerling,Diane Ladd,Roy Jenson,Roman Polanski,Richard Bakalyan,Joe Mantell,Bruce Glover,Nandu Hinds,James O'Rear,James Hong,Beulah Quo,Jerry Fujikawa,Belinda Palmer"                                                                                ,"1974,R"         ,  130 ,"Drama,Mystery,Thriller,Back to top"     ,       ,United States  ,R         ,  8.2 ,Chinatown                                                            ,
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.                                                            ,"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald,Garret Dillahunt,Tess Harper,Barry Corbin,Stephen Root,Rodger Boyce,Beth Grant,Ana Reeder,Kit Gwin,Zach Hopkins,Chip Love,Eduardo Antonio Garcia,Gene Jones,Myk Watford"                                                                              ,"2007,R"         ,  122 ,"Crime,Drama,Thriller,Back to top"       ,       ,United States  ,R         ,  8.2 ,No Country for Old Men                                               ,
Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.                                                                                      ,"Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,James Donald,Donald Pleasence,James Coburn,Hannes Messemer,David McCallum,Gordon Jackson,John Leyton,Angus Lennie,Nigel Stock,Robert Graf,Jud Taylor,Hans Reiser,Harry Riebauer,William Russell"                                                                ,"1963,Approved"  ,  172 ,"Adventure,Drama,History,Back to top"    ,       ,United States  ,Approved  ,  8.2 ,The Great Escape                                                     ,
"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."                                                                                  ,"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Lucy Liu,Vivica A. Fox,Julie Dreyfus,Chiaki Kuriyama,Shin'ichi Chiba,Chia-Hui Liu,Michael Parks,Michael Bowen,Jun Kunimura,Kenji Ôba,Yuki Kazamatsuri,James Parks,Sakichi Sato,Jonathan Loughran"                                                                       ,"2003,R"         ,  111 ,"Action,Crime,Drama,Back to top"         ,       ,United States  ,R         ,  8.2 ,Kill Bill: Vol. 1                                                    ,
"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."                                            ,"Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,Minoru Chiaki,Kichijirô Ueda,Noriko Honma,Daisuke Katô"                                                                                                                                                                                                                ,"1950,Not Rated" ,   88 ,"Crime,Drama,Mystery,Back to top"        ,       ,Japan          ,Not Rated ,  8.2 ,Rashomon                                                             ,Original title: Rashômon
"A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din..., "   ,"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight,Gerald R. Molen,Miguel Sandoval,Cameron Thor,Christopher John Fields,Whit Hertford,Dean Cundey,Jophery C. Brown"                                                         ,"1993,PG-13"     ,  127 ,"Action,Adventure,Sci-Fi,Back to top"    ,       ,United States  ,PG-13     ,  8.2 ,Jurassic Park                                                        ,
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.                                                ,"Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,Barton MacLane,Alfonso Bedoya,Arturo Soto Rangel,Manuel Dondé,José Torvay,Margarito Luna,Robert Blake,Guillermo Calles,Roberto Cañedo,Spencer Chan,Jacqueline Dalya,Ralph Dunn,Ernesto Escoto,Pat Flaherty"                                                                ,"1948,Passed"    ,  126 ,"Adventure,Drama,Western,Back to top"    ,       ,United States  ,Passed    ,  8.2 ,The Treasure of the Sierra Madre                                     ,
"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul..., "   ,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Benedict Wong,Tony Revolori,Marisa Tomei,Andrew Garfield,Tobey Maguire,Angourie Rice,Arian Moayed,Paula Newsome,Hannibal Buress,Martin Starr"                                                                          ,"2021,PG-13"     ,  148 ,"Action,Adventure,Fantasy,Back to top"   ,       ,United States  ,PG-13     ,  8.3 ,Spider-Man: No Way Home                                              ,
A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.                                                                              ,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,Isuzu Yamada,Daisuke Katô,Seizaburô Kawazu,Takashi Shimura,Hiroshi Tachikawa,Yôsuke Natsuki,Kamatari Fujiwara,Ikio Sawamura,Atsushi Watanabe,Susumu Fujita,Kyû Sazanka,Kô Nishimura,Takeshi Katô,Ichirô Nakatani"                                                       ,"1961,Not Rated" ,  110 ,"Action,Drama,Thriller,Back to top"      ,       ,Japan          ,Not Rated ,  8.2 ,Yojimbo                                                              ,Original title: Yôjinbô
"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."                                                    ,"Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Terry Jones,Michael Palin,Connie Booth,Carol Cleveland,Neil Innes,Bee Duffell,John Young,Rita Davies,Avril Stewart,Sally Kinghorn,Mark Zycon,Elspeth Cameron,Mitsuko Forstater,Sandy Johnson"                                                                                ,"1975,PG"        ,   91 ,"Adventure,Comedy,Fantasy,Back to top"   ,       ,United Kingdom ,PG        ,  8.2 ,Monty Python and the Holy Grail                                      ,
"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."                                                                           ,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,Max von Sydow,Michelle Williams,Patricia Clarkson,Jackie Earle Haley,Ted Levine,John Carroll Lynch,Elias Koteas,Robin Bartlett,Christopher Denham,Nellie Sciutto,Joseph Sikora,Curtiss Cook,Raymond Anthony Thomas,Joseph McKenna"                                   ,"2010,R"         ,  138 ,"Mystery,Thriller,Back to top"           ,       ,United States  ,R         ,  8.2 ,Shutter Island                                                       ,
"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."                                                                 ,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,Matthew Braden Stringer,Jacob Stringer,Joseph Mussey,Barry Del Sherman,Harrison Taylor,Stockton Taylor,Paul F. Tompkins,Dillon Freasier,Kevin Breznahan,Jim Meskimen,Erica Sullivan,Randall Carver,Coco Leigh,Sydney McCallister"                                       ,"2007,R"         ,  158 ,"Drama,Back to top"                      ,       ,United States  ,R         ,  8.2 ,There Will Be Blood                                                  ,
An insurance salesman discovers his whole life is actually a reality TV show.                                                                                                                           ,"Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,Natascha McElhone,Holland Taylor,Brian Delate,Blair Slater,Peter Krause,Heidi Schanz,Ron Taylor,Don Taylor,Ted Raymond,Judy Clayton,Fritz Dominique,Angel Schmiedt,Nastassja Schmiedt,Muriel Moore"                                                                             ,"1998,PG"        ,  103 ,"Comedy,Drama,Back to top"               ,       ,United States  ,PG        ,  8.2 ,The Truman Show                                                      ,
"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."                                                               ,"Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany,Adam Goldberg,Josh Lucas,Anthony Rapp,Jason Gray-Stanford,Judd Hirsch,Austin Pendleton,Vivien Cardone,Jillie Simon,Victor Steinbach,Tanya Clarke,Thomas F. Walsh,Jesse Doran,Kent Cassella"                                                          ,"2001,PG-13"     ,  135 ,"Biography,Drama,Back to top"            ,       ,United States  ,PG-13     ,  8.2 ,A Beautiful Mind                                                     ,
"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."                                                                           ,"Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Trevor Morgan,Donnie Wahlberg,Peter Anthony Tambakis,Jeffrey Zubernis,Bruce Norris,Glenn Fitzgerald,Greg Wood,Mischa Barton,Angelica Page,Lisa Summerour,Firdous Bamji,Samia Shoaib,Hayden Saunier,Janis Dardaris"                                                 ,"1999,PG-13"     ,  107 ,"Drama,Mystery,Thriller,Back to top"     ,       ,United States  ,PG-13     ,  8.2 ,The Sixth Sense                                                      ,
"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""                                       ,"Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,Jaimz Woolvett,Saul Rubinek,Frances Fisher,Anna Thomson,David Mucci,Rob Campbell,Anthony James,Tara Frederick,Beverley Elliott,Liisa Repo-Martell,Josie Smith,Shane Meier,Aline Levasseur,Cherrilene Cardinal"                                                        ,"1992,R"         ,  130 ,"Drama,Western,Back to top"              ,       ,United States  ,R         ,  8.2 ,Unforgiven                                                           ,
"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."                                                        ,"Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,Doug Jones,Álex Angulo,Manolo Solo,César Vea,Roger Casamajor,Ivan Massagué,Gonzalo Uriarte,Eusebio Lázaro,Francisco Vidal,Juanjo Cucalón,Lina Mira,Mario Zorrilla,Sebastián Haro,Mila Espiga"                                                                               ,"2006,R"         ,  118 ,"Drama,Fantasy,War,Back to top"          ,       ,Mexico         ,R         ,  8.2 ,Pan's Labyrinth                                                      ,Original title: El laberinto del fauno
"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas..., "   ,"Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent,John Bloom,Pasquale Cajano,Melissa Prophet,Bill Allison,Vinny Vella,Philip Suriano,Erika von Tagen,Frankie Avalon"                                                                                  ,"1995,R"         ,  178 ,"Crime,Drama,Back to top"                ,       ,United States  ,R         ,  8.2 ,Casino                                                               ,
"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o..., "   ,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Mieko Harada,Yoshiko Miyazaki,Hisashi Igawa,Pîtâ,Masayuki Yui,Kazuo Katô,Norio Matsui,Toshiya Ito,Kenji Kodama,Takashi Watanabe,Mansai Nomura,Takeshi Katô,Jun Tazaki,Hitoshi Ueki"                                                                                       ,"1985,R"         ,  162 ,"Action,Drama,War,Back to top"           ,       ,Japan          ,R         ,  8.2 ,Ran                                                                  ,
"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."                                                                                                                ,"Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,Maximilian Schell,Judy Garland,Montgomery Clift,William Shatner,Werner Klemperer,Kenneth MacKenna,Torben Meyer,Joseph Bernard,Alan Baxter,Edward Binns,Virginia Christine,Otto Waldis,Karl Swenson,Martin Brandt"                                                 ,"1961,Approved"  ,  179 ,"Drama,War,Back to top"                  ,       ,United States  ,Approved  ,  8.3 ,Judgment at Nuremberg                                                ,
"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."                           ,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Kyle Chandler,Rob Reiner,Jon Bernthal,Jon Favreau,Jean Dujardin,Joanna Lumley,Cristin Milioti,Christine Ebersole,Shea Whigham,Katarina Cas,P.J. Byrne,Kenneth Choi,Brian Sacca,Henry Zebrowski"                                                                  ,"2013,R"         ,  180 ,"Biography,Comedy,Crime,Back to top"     ,       ,United States  ,R         ,  8.2 ,The Wolf of Wall Street                                              ,
A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.                                                          ,"Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill,Hugh Marlowe,Gregory Ratoff,Barbara Bates,Marilyn Monroe,Thelma Ritter,Walter Hampden,Randy Stuart,Craig Hill,Leland Harris,Barbara White,Eddie Fisher,William Pullen,Claude Stroud"                                                                           ,"1950,Passed"    ,  138 ,"Drama,Back to top"                      ,       ,United States  ,Passed    ,  8.2 ,All About Eve                                                        ,
"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."                                                                                                                ,"Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,Albert Austin,Beulah Bains,Nellie Bly Baker,Henry Bergman,Edward Biby,B.F. Blinn,Kitty Bradbury,Frank Campeau,Bliss Chevalier,Frances Cochran,Elsie Codd,Jack Coogan Sr.,Estelle Cook,Lillian Crane"                                                                   ,"1921,Passed"    ,   68 ,"Comedy,Drama,Family,Back to top"        ,       ,United States  ,Passed    ,  8.3 ,The Kid                                                              ,
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.                                             ,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Dimiter D. Marinov,Mike Hatton,P.J. Byrne,Joe Cortese,Maggie Nixon,Von Lewis,Jon Sortland,Don Stark,Anthony Mangano,Paul Sloan,Quinn Duffy,Seth Hurwitz,Hudson Galloway,Gavin Lyle Foley"                                                                  ,"2018,PG-13"     ,  130 ,"Biography,Comedy,Drama,Back to top"     ,       ,United States  ,PG-13     ,  8.2 ,Green Book                                                           ,
"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his..., "   ,"Anthony Hopkins,Olivia Colman,Mark Gatiss,Olivia Williams,Imogen Poots,Rufus Sewell,Ayesha Dharker,Roman Zeller,Adnan Kundi,Brian Rodger,Evie Wray"                                                                                                                                                                             ,"2020,PG-13"     ,   97 ,"Drama,Mystery,Back to top"              ,       ,United Kingdom ,PG-13     ,  8.2 ,The Father                                                           ,
"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."                                                                                             ,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Tom Wilkinson,Rutger Hauer,Mark Boone Junior,Linus Roache,Morgan Freeman,Larry Holden,Gerard Murphy,Colin McFarlane,Sara Stewart,Gus Lewis,Richard Brake"                                                                         ,"2005,PG-13"     ,  140 ,"Action,Crime,Drama,Back to top"         ,       ,United States  ,PG-13     ,  8.2 ,Batman Begins                                                        ,
